FoodOn_ID	Sample
FOODON_00003602	Arrowroot
FOODON_00003607	Asian pear
FOODON_03542407	Atlantic herring
FOODON_03542450	Atlantic mackerel
FOODON_00003174	Painted comber
FOODON_03309227	Atlantic pollock
FOODON_00005324	Bamboo shoots
FOODON_00003627	Beech nut
FOODON_02020840	Bison
FOODON_00001659	Bluefish
FOODON_00004286	Wild boar
FOODON_02022560	Bowhead whale
FOODON_00003628	Breadfruit
FOODON_03305165	Breadnut tree seed
FOODON_03411476	Buffalo
FOODON_00005348	Butternut
FOODON_00005354	Butternut squash
FOODON_00003680	Natal plum
FOODON_00002400	Carob
FOODON_03542220	Common carp
FOODON_00003409	Cassava
FOODON_00003653	Chayote
FOODON_03000431	Chia
FOODON_03411457	Chicken
FOODON_00004260	Chinese chestnut
FOODON_00005361	Chinese water chestnut
FOODON_03411317	Nuttall cockle
FOODON_00003449	Coconut
FOODON_03542349	Pacific cod
FOODON_02021809	Atlantic cod
FOODON_02022054	Common octopus
FOODON_03316042	Corn salad
FOODON_03301762	Cottonseed
FOODON_00003779	Catjang pea
FOODON_00003651	Malus (Crab apple)
FOODON_00003719	Squashberry
FOODON_03542353	Cusk
FOODON_03411644	Cuttlefish
FOODON_02021907	Devilfish
FOODON_03540846	Dock
FOODON_00003665	Durian
FOODON_02022511	Eastern oyster
FOODON_03411278	Freshwater eel
FOODON_00003678	Elderberry
FOODON_02021419	Elk
FOODON_02020096	Emu
FOODON_03000167	Oregon yampah
FOODON_02021881	European anchovy
FOODON_00003655	European chestnut
FOODON_02021933	Florida pompano
FOODON_00003397	Ginkgo nuts
FOODON_00003417	Grape
FOODON_03542335	Greenland halibut/turbot
FOODON_03412519	Groundcherry
FOODON_03411496	Grouper
FOODON_03411125	Guinea hen
FOODON_03411532	Hippoglossus (Common halibut)
FOODON_00002933	Hazelnut
FOODON_00003089	Hickory nut
FOODON_02021548	Horse
FOODON_03411748	Horseradish tree
FOODON_00004208	Alaska blueberry
FOODON_03309749	Hyacinth bean
FOODON_00003457	Jackfruit
FOODON_00003654	Japanese chestnut
FOODON_00003706	Jerusalem artichoke
FOODON_00002487	Jujube
FOODON_03411744	Kelp
FOODON_00003686	Kumquat
FOODON_00003084	Lambsquarters
FOODON_03413442	Wild leek
FOODON_02021894	Lingcod
FOODON_03542503	American lobster
FOODON_00003479	Loganberry
FOODON_00003113	Lotus
FOODON_03541787	Mammee apple
FOODON_03541752	Purple mangosteen
FOODON_02021920	Monkfish
FOODON_03309719	Moth bean
FOODON_00003082	Mountain yam
FOODON_03411092	Mustard spinach
FOODON_03411845	Ocean pout
FOODON_00002872	Ohelo berry
FOODON_03414466	Tunicate
FOODON_02020785	Ostrich
FOODON_03411575	Pacific herring
FOODON_00003520	Pepper (C. frutescens)
FOODON_03541725	Common persimmon
FOODON_03411460	Pheasant
FOODON_00003722	Pili nut
FOODON_00003114	Colorado pinyon
FOODON_03541693	Pitanga
FOODON_03411439	French plantain
FOODON_03411400	American pokeweed
FOODON_03000157	Prairie turnip
FOODON_03413499	Rainbow smelt
FOODON_00003746	Rose hip
FOODON_03543734	Roselle
FOODON_02021848	Sockeye salmon
FOODON_02022069	Atlantic salmon
FOODON_00003689	Salmonberry
FOODON_03411551	Common salsify
FOODON_00005317	Mamey sapote
FOODON_02020805	Scallop
FOODON_02022154	Sea cucumber
FOODON_02022110	Steller sea lion
FOODON_02022130	Bearded seal
FOODON_02022553	Ringed seal
FOODON_03411479	Sea trout
FOODON_03000278	Sesbania flower
FOODON_02021946	American shad
FOODON_03411342	Shark
FOODON_00003153	Sheefish
FOODON_03411669; FOODON_00002912	Sheep (Mutton, Lamb)
FOODON_03542425	Skipjack tuna
FOODON_03411510	Snapper
FOODON_00002937	Soursop
FOODON_03412039	Spirulina
FOODON_03000301	Squab
FOODON_00004224	Strawberry guava
FOODON_03411465	Greater sturgeon
